codigo,complexity,n_classes,n_functions,loc,lloc,sloc,single_comments,comments,multilines,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,imports,assignments,assignments_unique,kwds,kwds_unique,lt_numbers,lt_strings,lt_booleans,lgc_op,lgc_op_unique,and_op,or_op,not_op,arithmetic_op,arithmetic_op_unique,add_op,minus_op,mult_op,div_op,mod_op,power_op,div_floor_op,cmp_op,cmp_op_unique,equal_op,not_eq_op,lt_op,gt_op,less_op,greater_op,bitwise_op,bitwise_op_unique,bitwise_and,bitwise_or,bitwise_xor,bitwise_not,lshift_op,rshift_op,identity_op,membership_op,conditionals,ifs,elifs,elses,loops,whiles,fors,breaks,continues,builtin_f,builtin_f_unique,type_f,type_f_unique,lambdas,lpar,rpar,lsqb,rsqb,lbrace,rbrace,commas,colons,dots,prints,inputs,len,uident,uident_unique,uident_mean,uident_per_line,uident_chars
3681,2,0,0,12,7,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,4,4,2,0,7,7,1,1,0,0,4,1,2,1,1,0,19,7,2.7142857142857144,1.4615384615384615,4.0
3524,2,0,0,31,12,12,10,10,0,9,5,12,8,16,17,24,54.62919048309069,98.09910819000817,3.3333333333333335,326.99702730002724,0.03269970273000272,18.16650151666818,1,9,1,3,3,7,2,0,0,0,0,0,0,8,4,2,0,4,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,5,1,1,0,9,9,0,0,0,0,1,1,0,1,2,0,22,8,1.8333333333333333,0.6875,4.625
1403,2,0,0,9,7,7,0,0,0,2,3,9,5,10,12,15,33.28421251514428,53.77443751081735,1.6666666666666667,89.62406251802892,0.017924812503605784,4.9791145843349405,0,4,1,2,2,4,3,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,5,3,2,1,0,6,6,0,0,0,0,0,2,0,1,2,0,8,3,1.3333333333333333,0.8,5.666666666666667
3177,7,0,0,20,22,18,1,1,0,1,2,12,10,20,14,30,45.01955000865388,114.22064766172811,1.6666666666666667,190.36774610288018,0.038073549220576035,10.575985894604454,0,11,2,7,4,10,11,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4,0,1,0,1,0,0,6,2,0,0,0,6,6,0,0,0,0,5,6,0,5,1,0,23,7,1.2777777777777777,1.0952380952380953,1.4285714285714286
1494,6,0,0,14,11,11,0,0,0,3,4,12,11,22,16,33,51.01955000865388,132.0,3.6666666666666665,484.0,0.044,26.88888888888889,0,6,1,6,4,9,1,0,2,1,2,0,0,4,1,0,0,4,0,0,0,0,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,4,4,1,1,0,7,7,0,0,0,0,1,4,0,1,1,0,18,3,1.8,1.2,6.0
2936,1,0,0,18,7,6,0,0,8,4,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978,0,5,1,0,0,2,4,0,0,0,0,0,0,4,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,2,0,8,8,0,0,0,0,0,0,0,1,3,0,10,5,1.6666666666666667,0.5263157894736842,3.8
1650,6,0,0,35,17,16,6,7,5,8,2,11,9,18,13,27,40.053747805010275,99.91187238980949,1.6363636363636365,163.49215481968827,0.03330395746326983,9.082897489982681,1,8,1,9,7,16,7,0,0,0,0,0,0,6,2,5,0,1,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,1,1,0,1,0,0,5,4,1,1,0,11,11,10,10,0,0,1,6,2,2,1,0,25,8,1.6666666666666667,0.6944444444444444,4.125
3182,3,0,0,9,7,7,0,0,0,2,2,7,5,9,9,14,21.651484454403228,44.37895002019238,1.2857142857142858,57.05865002596163,0.014792983340064125,3.169925001442313,1,5,1,5,5,6,1,0,0,0,0,0,0,4,2,3,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,7,6,3,2,0,7,7,7,7,0,0,4,2,0,1,1,1,22,7,3.142857142857143,2.2,3.857142857142857
2595,3,0,0,17,10,10,1,1,0,6,4,7,5,9,11,14,27.651484454403228,48.43204266092217,2.5714285714285716,124.53953827094274,0.016144014220307392,6.918863237274596,0,6,1,3,3,7,1,0,0,0,0,0,0,4,3,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,5,4,1,1,0,6,6,2,2,0,0,0,3,0,2,1,0,15,5,1.5,0.8333333333333334,5.6
3587,5,0,0,26,14,13,1,1,7,5,5,11,8,16,16,24,49.663388279447084,96.0,3.6363636363636362,349.09090909090907,0.032,19.39393939393939,1,7,1,6,5,10,2,0,0,0,0,0,0,5,3,1,0,3,1,0,0,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,0,4,4,0,0,0,10,10,3,3,0,0,1,4,0,1,1,0,23,6,1.7692307692307692,0.8518518518518519,3.6666666666666665
1485,12,0,0,28,26,26,0,0,0,2,7,19,22,42,26,64,100.36210720983135,300.8281419610299,7.7368421052631575,2327.459835172179,0.10027604732034331,129.30332417623217,0,11,1,13,4,12,12,0,1,1,1,0,0,10,2,0,2,8,0,0,0,0,11,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,7,2,0,0,0,0,0,6,3,1,1,0,17,17,0,0,0,0,0,12,1,3,2,0,32,4,1.4545454545454546,1.103448275862069,4.5
1290,3,0,0,44,14,13,13,13,9,9,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978,2,7,1,7,5,13,6,0,0,0,0,0,0,5,2,2,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,7,6,1,1,0,13,13,9,9,0,0,13,2,1,2,1,0,30,11,2.3076923076923075,0.6666666666666666,4.090909090909091
3682,2,0,0,8,6,6,0,0,0,2,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297,1,4,1,3,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,4,3,2,0,6,6,1,1,0,0,4,1,1,1,1,0,15,6,2.5,1.6666666666666667,3.8333333333333335
1610,2,0,0,24,9,8,1,1,9,6,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624,1,5,1,3,3,3,3,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,1,1,0,6,6,1,1,0,0,0,1,1,1,1,0,15,6,1.875,0.6,4.0
2592,3,0,0,17,10,10,1,1,0,6,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624,0,6,1,3,3,6,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,5,4,1,1,0,5,5,2,2,0,0,0,3,0,2,1,0,15,5,1.5,0.8333333333333334,6.4
3689,3,0,0,15,10,10,0,0,0,5,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297,1,7,1,6,4,2,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,8,5,3,2,0,13,13,5,5,0,0,5,2,0,1,2,0,30,12,3,1.875,2.6666666666666665
