,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,3.0
5,Coesão Referencial,adj_stem_ovl,3.0
6,Coesão Referencial,arg_ovl,4.33333
7,Coesão Referencial,stem_ovl,4.33333
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,0.66667
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.025
13,Conectivos,and_ratio,0.0125
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.05
16,Conectivos,conn_ratio,0.0625
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.025
20,Conectivos,logic_operators,0.025
21,Conectivos,negation_ratio,0.0125
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,8.83333
25,Diversidade Lexical,ttr,0.6375
26,Frequência de Palavras,cw_freq,272019.42857
27,Frequência de Palavras,min_cw_freq,0.0
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.075
29,Informações Morfossintáticas de Palavras,adverbs,0.025
30,Informações Morfossintáticas de Palavras,content_words,0.6125
31,Informações Morfossintáticas de Palavras,function_words,0.3875
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.025
34,Informações Morfossintáticas de Palavras,verbs,0.1
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.5
36,Informações Semânticas de Palavras,adverbs_ambiguity,2.0
37,Informações Semânticas de Palavras,hypernyms_verbs,1.125
38,Informações Semânticas de Palavras,nouns_ambiguity,4.42857
39,Informações Semânticas de Palavras,verbs_ambiguity,9.25
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,3
42,Medidas Descritivas,sentences_per_paragraph,3.0
43,Medidas Descritivas,syllables_per_content_word,2.55102
44,Medidas Descritivas,words,80
45,Medidas Descritivas,words_per_sentence,26.66667
46,Índices de leiturabilidade,flesch,51.51083
