,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,2.0
5,Coesão Referencial,adj_stem_ovl,3.66667
6,Coesão Referencial,arg_ovl,1.83333
7,Coesão Referencial,stem_ovl,3.33333
8,Coesão referencial,adjacent_refs,1.33333
9,Coesão referencial,anaphoric_refs,2.0
10,Complexidade Sintática,words_before_main_verb,2.5
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.07292
13,Conectivos,and_ratio,0.05208
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.04167
16,Conectivos,conn_ratio,0.09375
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.03125
20,Conectivos,logic_operators,0.05208
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,5.40833
25,Diversidade Lexical,ttr,0.61458
26,Frequência de Palavras,cw_freq,116464.83051
27,Frequência de Palavras,min_cw_freq,8072.25
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.09375
29,Informações Morfossintáticas de Palavras,adverbs,0.0
30,Informações Morfossintáticas de Palavras,content_words,0.61458
31,Informações Morfossintáticas de Palavras,function_words,0.38542
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.01042
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04167
34,Informações Morfossintáticas de Palavras,verbs,0.10417
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.66667
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.1
38,Informações Semânticas de Palavras,nouns_ambiguity,2.97436
39,Informações Semânticas de Palavras,verbs_ambiguity,14.44444
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,4
42,Medidas Descritivas,sentences_per_paragraph,4.0
43,Medidas Descritivas,syllables_per_content_word,2.59322
44,Medidas Descritivas,words,96
45,Medidas Descritivas,words_per_sentence,24.0
46,Índices de leiturabilidade,flesch,49.9875
