,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,7.0
5,Coesão Referencial,adj_stem_ovl,12.0
6,Coesão Referencial,arg_ovl,7.0
7,Coesão Referencial,stem_ovl,12.0
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.5
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.05556
13,Conectivos,and_ratio,0.03704
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.03704
16,Conectivos,conn_ratio,0.12963
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.01852
20,Conectivos,logic_operators,0.03704
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.05556
24,Densidade de Padrões Sintáticos,mean_noun_phrase,6.0
25,Diversidade Lexical,ttr,0.62963
26,Frequência de Palavras,cw_freq,153855.66667
27,Frequência de Palavras,min_cw_freq,498.5
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.09259
29,Informações Morfossintáticas de Palavras,adverbs,0.03704
30,Informações Morfossintáticas de Palavras,content_words,0.66667
31,Informações Morfossintáticas de Palavras,function_words,0.33333
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.03704
34,Informações Morfossintáticas de Palavras,verbs,0.14815
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.6
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,1.8
38,Informações Semânticas de Palavras,nouns_ambiguity,2.52381
39,Informações Semânticas de Palavras,verbs_ambiguity,3.5
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,2
42,Medidas Descritivas,sentences_per_paragraph,2.0
43,Medidas Descritivas,syllables_per_content_word,2.97222
44,Medidas Descritivas,words,54
45,Medidas Descritivas,words_per_sentence,27.0
46,Índices de leiturabilidade,flesch,20.89667
