,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,0.5
5,Coesão Referencial,adj_stem_ovl,0.66667
6,Coesão Referencial,arg_ovl,0.57143
7,Coesão Referencial,stem_ovl,0.85714
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,0.71429
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02105
13,Conectivos,and_ratio,0.01053
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.03158
16,Conectivos,conn_ratio,0.04211
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.02105
20,Conectivos,logic_operators,0.02105
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.13605
25,Diversidade Lexical,ttr,0.66316
26,Frequência de Palavras,cw_freq,57931.51667
27,Frequência de Palavras,min_cw_freq,2218.14286
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.09474
29,Informações Morfossintáticas de Palavras,adverbs,0.0
30,Informações Morfossintáticas de Palavras,content_words,0.63158
31,Informações Morfossintáticas de Palavras,function_words,0.36842
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.01053
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.06316
34,Informações Morfossintáticas de Palavras,verbs,0.07368
35,Informações Semânticas de Palavras,adjectives_ambiguity,0.88889
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.71429
38,Informações Semânticas de Palavras,nouns_ambiguity,2.40541
39,Informações Semânticas de Palavras,verbs_ambiguity,6.28571
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,7
42,Medidas Descritivas,sentences_per_paragraph,7.0
43,Medidas Descritivas,syllables_per_content_word,2.81667
44,Medidas Descritivas,words,95
45,Medidas Descritivas,words_per_sentence,13.57143
46,Índices de leiturabilidade,flesch,49.83053
