,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,6.1
5,Coesão Referencial,adj_stem_ovl,6.6
6,Coesão Referencial,arg_ovl,4.85455
7,Coesão Referencial,stem_ovl,5.32727
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.81818
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.00862
13,Conectivos,and_ratio,0.0
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02586
16,Conectivos,conn_ratio,0.0431
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.02586
20,Conectivos,logic_operators,0.02586
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.92424
25,Diversidade Lexical,ttr,0.52118
26,Frequência de Palavras,cw_freq,427923.2
27,Frequência de Palavras,min_cw_freq,139580.27273
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.08621
29,Informações Morfossintáticas de Palavras,adverbs,0.03448
30,Informações Morfossintáticas de Palavras,content_words,0.68966
31,Informações Morfossintáticas de Palavras,function_words,0.31034
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.02586
34,Informações Morfossintáticas de Palavras,verbs,0.14655
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.6
36,Informações Semânticas de Palavras,adverbs_ambiguity,4.5
37,Informações Semânticas de Palavras,hypernyms_verbs,0.5625
38,Informações Semânticas de Palavras,nouns_ambiguity,1.8125
39,Informações Semânticas de Palavras,verbs_ambiguity,8.25
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,11
42,Medidas Descritivas,sentences_per_paragraph,11.0
43,Medidas Descritivas,syllables_per_content_word,2.8375
44,Medidas Descritivas,words,116
45,Medidas Descritivas,words_per_sentence,10.54545
46,Índices de leiturabilidade,flesch,41.94688
