,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,4.25
5,Coesão Referencial,adj_stem_ovl,4.75
6,Coesão Referencial,arg_ovl,3.2
7,Coesão Referencial,stem_ovl,3.9
8,Coesão referencial,adjacent_refs,0.5
9,Coesão referencial,anaphoric_refs,0.5
10,Complexidade Sintática,words_before_main_verb,0.8
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.03788
13,Conectivos,and_ratio,0.0303
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.05303
16,Conectivos,conn_ratio,0.08333
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.0303
20,Conectivos,logic_operators,0.0303
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,9.52333
25,Diversidade Lexical,ttr,0.58364
26,Frequência de Palavras,cw_freq,369877.57895
27,Frequência de Palavras,min_cw_freq,16.6
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.04545
29,Informações Morfossintáticas de Palavras,adverbs,0.0
30,Informações Morfossintáticas de Palavras,content_words,0.57576
31,Informações Morfossintáticas de Palavras,function_words,0.42424
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.01939
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.06061
34,Informações Morfossintáticas de Palavras,verbs,0.15909
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.25
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.4
38,Informações Semânticas de Palavras,nouns_ambiguity,2.375
39,Informações Semânticas de Palavras,verbs_ambiguity,9.0
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,5
42,Medidas Descritivas,sentences_per_paragraph,5.0
43,Medidas Descritivas,syllables_per_content_word,2.35526
44,Medidas Descritivas,words,132
45,Medidas Descritivas,words_per_sentence,26.4
46,Índices de leiturabilidade,flesch,65.01627
