,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,2.0
5,Coesão Referencial,adj_stem_ovl,2.16667
6,Coesão Referencial,arg_ovl,1.90476
7,Coesão Referencial,stem_ovl,1.95238
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,2.71429
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02857
13,Conectivos,and_ratio,0.02143
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.04286
16,Conectivos,conn_ratio,0.07143
17,Conectivos,if_ratio,0.00714
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.02857
20,Conectivos,logic_operators,0.02857
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.00714
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.93095
25,Diversidade Lexical,ttr,0.69537
26,Frequência de Palavras,cw_freq,168818.52439
27,Frequência de Palavras,min_cw_freq,5601.0
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.03571
29,Informações Morfossintáticas de Palavras,adverbs,0.03571
30,Informações Morfossintáticas de Palavras,content_words,0.58571
31,Informações Morfossintáticas de Palavras,function_words,0.41429
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.01
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.06429
34,Informações Morfossintáticas de Palavras,verbs,0.14286
35,Informações Semânticas de Palavras,adjectives_ambiguity,1.66667
36,Informações Semânticas de Palavras,adverbs_ambiguity,3.33333
37,Informações Semânticas de Palavras,hypernyms_verbs,1.15789
38,Informações Semânticas de Palavras,nouns_ambiguity,3.88
39,Informações Semânticas de Palavras,verbs_ambiguity,6.28571
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,7
42,Medidas Descritivas,sentences_per_paragraph,7.0
43,Medidas Descritivas,syllables_per_content_word,3.06098
44,Medidas Descritivas,words,140
45,Medidas Descritivas,words_per_sentence,20.0
46,Índices de leiturabilidade,flesch,33.35071
