,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,4.22222
5,Coesão Referencial,adj_stem_ovl,6.55556
6,Coesão Referencial,arg_ovl,1.84444
7,Coesão Referencial,stem_ovl,3.57778
8,Coesão referencial,adjacent_refs,0.33333
9,Coesão referencial,anaphoric_refs,0.77778
10,Complexidade Sintática,words_before_main_verb,1.2
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.03871
13,Conectivos,and_ratio,0.01935
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.0129
16,Conectivos,conn_ratio,0.07097
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.03871
20,Conectivos,logic_operators,0.04516
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.00645
24,Densidade de Padrões Sintáticos,mean_noun_phrase,3.14762
25,Diversidade Lexical,ttr,0.53304
26,Frequência de Palavras,cw_freq,252588.75248
27,Frequência de Palavras,min_cw_freq,3604.4
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.04516
29,Informações Morfossintáticas de Palavras,adverbs,0.01935
30,Informações Morfossintáticas de Palavras,content_words,0.65161
31,Informações Morfossintáticas de Palavras,function_words,0.34839
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.00679
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04516
34,Informações Morfossintáticas de Palavras,verbs,0.2129
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.71429
36,Informações Semânticas de Palavras,adverbs_ambiguity,4.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.51724
38,Informações Semânticas de Palavras,nouns_ambiguity,2.16071
39,Informações Semânticas de Palavras,verbs_ambiguity,8.57143
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,10
42,Medidas Descritivas,sentences_per_paragraph,10.0
43,Medidas Descritivas,syllables_per_content_word,2.67327
44,Medidas Descritivas,words,155
45,Medidas Descritivas,words_per_sentence,15.5
46,Índices de leiturabilidade,flesch,48.61992
