,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,1.71429
5,Coesão Referencial,adj_stem_ovl,2.14286
6,Coesão Referencial,arg_ovl,1.39286
7,Coesão Referencial,stem_ovl,2.07143
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,2.125
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.03205
13,Conectivos,and_ratio,0.01923
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.03846
16,Conectivos,conn_ratio,0.08333
17,Conectivos,if_ratio,0.00641
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.03205
20,Conectivos,logic_operators,0.05769
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.00641
24,Densidade de Padrões Sintáticos,mean_noun_phrase,6.02083
25,Diversidade Lexical,ttr,0.62193
26,Frequência de Palavras,cw_freq,185848.17949
27,Frequência de Palavras,min_cw_freq,6959.375
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.02564
29,Informações Morfossintáticas de Palavras,adverbs,0.01282
30,Informações Morfossintáticas de Palavras,content_words,0.5
31,Informações Morfossintáticas de Palavras,function_words,0.5
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.03205
34,Informações Morfossintáticas de Palavras,verbs,0.10256
35,Informações Semânticas de Palavras,adjectives_ambiguity,4.75
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,1.23077
38,Informações Semânticas de Palavras,nouns_ambiguity,5.13208
39,Informações Semânticas de Palavras,verbs_ambiguity,4.93333
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,8
42,Medidas Descritivas,sentences_per_paragraph,8.0
43,Medidas Descritivas,syllables_per_content_word,2.74359
44,Medidas Descritivas,words,156
45,Medidas Descritivas,words_per_sentence,19.5
46,Índices de leiturabilidade,flesch,60.38481
