,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,6.33333
5,Coesão Referencial,adj_stem_ovl,7.33333
6,Coesão Referencial,arg_ovl,9.7619
7,Coesão Referencial,stem_ovl,10.7619
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,0.28571
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02759
13,Conectivos,and_ratio,0.02069
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02069
16,Conectivos,conn_ratio,0.04828
17,Conectivos,if_ratio,0.0069
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.01379
20,Conectivos,logic_operators,0.03448
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0069
24,Densidade de Padrões Sintáticos,mean_noun_phrase,7.05
25,Diversidade Lexical,ttr,0.56891
26,Frequência de Palavras,cw_freq,246044.79612
27,Frequência de Palavras,min_cw_freq,1172.28571
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.07586
29,Informações Morfossintáticas de Palavras,adverbs,0.0069
30,Informações Morfossintáticas de Palavras,content_words,0.71034
31,Informações Morfossintáticas de Palavras,function_words,0.28966
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.00609
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.02759
34,Informações Morfossintáticas de Palavras,verbs,0.13793
35,Informações Semânticas de Palavras,adjectives_ambiguity,0.77778
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,1.16667
38,Informações Semânticas de Palavras,nouns_ambiguity,1.33333
39,Informações Semânticas de Palavras,verbs_ambiguity,4.92308
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,7
42,Medidas Descritivas,sentences_per_paragraph,7.0
43,Medidas Descritivas,syllables_per_content_word,2.85437
44,Medidas Descritivas,words,145
45,Medidas Descritivas,words_per_sentence,20.71429
46,Índices de leiturabilidade,flesch,29.43759
