,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,1.33333
5,Coesão Referencial,adj_stem_ovl,2.66667
6,Coesão Referencial,arg_ovl,1.16667
7,Coesão Referencial,stem_ovl,2.5
8,Coesão referencial,adjacent_refs,0.66667
9,Coesão referencial,anaphoric_refs,0.66667
10,Complexidade Sintática,words_before_main_verb,0.75
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.04412
13,Conectivos,and_ratio,0.0
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.04412
16,Conectivos,conn_ratio,0.05882
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.05882
20,Conectivos,logic_operators,0.0
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,3.58333
25,Diversidade Lexical,ttr,0.70588
26,Frequência de Palavras,cw_freq,258518.52083
27,Frequência de Palavras,min_cw_freq,316.25
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.05882
29,Informações Morfossintáticas de Palavras,adverbs,0.05882
30,Informações Morfossintáticas de Palavras,content_words,0.70588
31,Informações Morfossintáticas de Palavras,function_words,0.29412
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04412
34,Informações Morfossintáticas de Palavras,verbs,0.19118
35,Informações Semânticas de Palavras,adjectives_ambiguity,4.0
36,Informações Semânticas de Palavras,adverbs_ambiguity,4.5
37,Informações Semânticas de Palavras,hypernyms_verbs,0.84615
38,Informações Semânticas de Palavras,nouns_ambiguity,2.36364
39,Informações Semânticas de Palavras,verbs_ambiguity,6.45455
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,4
42,Medidas Descritivas,sentences_per_paragraph,4.0
43,Medidas Descritivas,syllables_per_content_word,2.70833
44,Medidas Descritivas,words,68
45,Medidas Descritivas,words_per_sentence,17.0
46,Índices de leiturabilidade,flesch,38.74176
