,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,0.5
5,Coesão Referencial,adj_stem_ovl,1.0
6,Coesão Referencial,arg_ovl,0.72222
7,Coesão Referencial,stem_ovl,1.36111
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.0
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.01429
13,Conectivos,and_ratio,0.00714
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.01429
16,Conectivos,conn_ratio,0.02143
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.01429
20,Conectivos,logic_operators,0.02143
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.67778
25,Diversidade Lexical,ttr,0.61366
26,Frequência de Palavras,cw_freq,262577.21839
27,Frequência de Palavras,min_cw_freq,549.55556
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.02857
29,Informações Morfossintáticas de Palavras,adverbs,0.01429
30,Informações Morfossintáticas de Palavras,content_words,0.62143
31,Informações Morfossintáticas de Palavras,function_words,0.37857
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04286
34,Informações Morfossintáticas de Palavras,verbs,0.13571
35,Informações Semânticas de Palavras,adjectives_ambiguity,0.66667
36,Informações Semânticas de Palavras,adverbs_ambiguity,2.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.64286
38,Informações Semânticas de Palavras,nouns_ambiguity,2.33333
39,Informações Semânticas de Palavras,verbs_ambiguity,6.4
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,9
42,Medidas Descritivas,sentences_per_paragraph,9.0
43,Medidas Descritivas,syllables_per_content_word,2.62069
44,Medidas Descritivas,words,140
45,Medidas Descritivas,words_per_sentence,15.55556
46,Índices de leiturabilidade,flesch,56.59468
