,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,6.85714
5,Coesão Referencial,adj_stem_ovl,7.0
6,Coesão Referencial,arg_ovl,3.39286
7,Coesão Referencial,stem_ovl,3.35714
8,Coesão referencial,adjacent_refs,0.14286
9,Coesão referencial,anaphoric_refs,0.42857
10,Complexidade Sintática,words_before_main_verb,1.125
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.00588
13,Conectivos,and_ratio,0.0
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02941
16,Conectivos,conn_ratio,0.02941
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.01176
20,Conectivos,logic_operators,0.00588
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,8.23958
25,Diversidade Lexical,ttr,0.47704
26,Frequência de Palavras,cw_freq,185573.32653
27,Frequência de Palavras,min_cw_freq,219.375
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.04118
29,Informações Morfossintáticas de Palavras,adverbs,0.00588
30,Informações Morfossintáticas de Palavras,content_words,0.57647
31,Informações Morfossintáticas de Palavras,function_words,0.42353
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.00366
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.07059
34,Informações Morfossintáticas de Palavras,verbs,0.12941
35,Informações Semânticas de Palavras,adjectives_ambiguity,1.57143
36,Informações Semânticas de Palavras,adverbs_ambiguity,0.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.80952
38,Informações Semânticas de Palavras,nouns_ambiguity,4.35484
39,Informações Semânticas de Palavras,verbs_ambiguity,6.1
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,8
42,Medidas Descritivas,sentences_per_paragraph,8.0
43,Medidas Descritivas,syllables_per_content_word,2.83673
44,Medidas Descritivas,words,170
45,Medidas Descritivas,words_per_sentence,21.25
46,Índices de leiturabilidade,flesch,46.62037
