,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,2.66667
5,Coesão Referencial,adj_stem_ovl,3.66667
6,Coesão Referencial,arg_ovl,2.66667
7,Coesão Referencial,stem_ovl,3.5
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,5.25
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02632
13,Conectivos,and_ratio,0.0
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.05263
16,Conectivos,conn_ratio,0.05263
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.03947
20,Conectivos,logic_operators,0.0
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,9.41667
25,Diversidade Lexical,ttr,0.61842
26,Frequência de Palavras,cw_freq,134231.59091
27,Frequência de Palavras,min_cw_freq,2823.75
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.06579
29,Informações Morfossintáticas de Palavras,adverbs,0.01316
30,Informações Morfossintáticas de Palavras,content_words,0.57895
31,Informações Morfossintáticas de Palavras,function_words,0.42105
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.03947
34,Informações Morfossintáticas de Palavras,verbs,0.09211
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.4
36,Informações Semânticas de Palavras,adverbs_ambiguity,5.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.71429
38,Informações Semânticas de Palavras,nouns_ambiguity,4.64286
39,Informações Semânticas de Palavras,verbs_ambiguity,15.16667
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,4
42,Medidas Descritivas,sentences_per_paragraph,4.0
43,Medidas Descritivas,syllables_per_content_word,2.81818
44,Medidas Descritivas,words,76
45,Medidas Descritivas,words_per_sentence,19.0
46,Índices de leiturabilidade,flesch,52.55789
