,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,2.0
5,Coesão Referencial,adj_stem_ovl,3.0
6,Coesão Referencial,arg_ovl,6.8
7,Coesão Referencial,stem_ovl,8.5
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.2
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.03125
13,Conectivos,and_ratio,0.02083
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.03125
16,Conectivos,conn_ratio,0.09375
17,Conectivos,if_ratio,0.02083
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.0625
20,Conectivos,logic_operators,0.0625
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.01042
24,Densidade de Padrões Sintáticos,mean_noun_phrase,6.26667
25,Diversidade Lexical,ttr,0.51042
26,Frequência de Palavras,cw_freq,340179.61194
27,Frequência de Palavras,min_cw_freq,1520.6
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.04167
29,Informações Morfossintáticas de Palavras,adverbs,0.02083
30,Informações Morfossintáticas de Palavras,content_words,0.69792
31,Informações Morfossintáticas de Palavras,function_words,0.30208
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.03125
34,Informações Morfossintáticas de Palavras,verbs,0.1875
35,Informações Semânticas de Palavras,adjectives_ambiguity,1.75
36,Informações Semânticas de Palavras,adverbs_ambiguity,1.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.66667
38,Informações Semânticas de Palavras,nouns_ambiguity,2.54054
39,Informações Semânticas de Palavras,verbs_ambiguity,3.91667
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,5
42,Medidas Descritivas,sentences_per_paragraph,5.0
43,Medidas Descritivas,syllables_per_content_word,3.01493
44,Medidas Descritivas,words,96
45,Medidas Descritivas,words_per_sentence,19.2
46,Índices de leiturabilidade,flesch,20.49075
